,forecast,lower_ci,upper_ci
2024-01-01,204.93992267922488,194.67734769275353,215.20249766569623
2024-01-02,199.74177187546314,186.71355451808756,212.76998923283873
2024-01-03,197.3526904541298,182.85105150509972,211.85432940315988
2024-01-04,198.78786367008848,183.36808285381267,214.2076444863643
2024-01-05,202.42043205724738,186.33241942611087,218.5084446883839
2024-01-06,205.14114307470027,188.49537723367786,221.78690891572268
2024-01-07,204.64946590029436,187.50750485475965,221.79142694582907
2024-01-08,201.14467716070868,183.56826912203866,218.7210851993787
2024-01-09,197.1439046358609,179.20505871321117,215.08275055851064
2024-01-10,195.56681079146205,177.33013866870658,213.8034829142175
2024-01-11,197.52927458340122,179.0318752026306,216.02667396417183
2024-01-12,201.50295880249647,182.74852916989192,220.257388435101
2024-01-13,204.4665480295962,185.43579320997173,223.49730284922066
2024-01-14,204.17648446914936,184.85003865696203,223.5029302813367
2024-01-15,200.84712310730302,181.227797825543,220.46644838906303
2024-01-16,196.9796941418615,177.0952065489514,216.8641817347716
2024-01-17,195.4744171290246,175.35889936460833,215.58993489344087
2024-01-18,197.4495079829687,177.1220924722028,217.77692349373459
2024-01-19,201.40637031905118,180.8620346674836,221.95070597061874
2024-01-20,204.36358622326932,183.57942697831044,225.1477454682282
2024-01-21,204.1012548794484,183.05546921157648,225.1470405473203
2024-01-22,200.82594075869392,179.5175161287395,222.13436538864835
2024-01-23,197.00734014609193,175.4587367563281,218.55594353585576
2024-01-24,195.51537946941562,173.75585931437735,217.2748996244539
2024-01-25,197.4628220790565,175.50871547691506,219.41692868119796
2024-01-26,201.3750629286449,179.2210138150864,223.5291120422034
2024-01-27,204.30640896358466,181.93079266346103,226.68202526370828
2024-01-28,204.05782645014074,181.43998584154502,226.67566705873645
2024-01-29,200.82646056803463,177.96481546931412,223.68810566675515
2024-01-30,197.0496161608255,173.96431157258633,220.1349207490647
